,zip,city,state,latitude,longitude,countyname,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
2225,54311,Green Bay,WI,44.485243,-87.92232,Brown County,192500,194300,196100,197500,198700,199000,198700,198200,198600,200600,203300,204900
2226,32114,Daytona Beach,FL,29.204009000000003,-81.03602,Volusia County,88800,90600,92200,93300,94300,96000,98400,100600,102600,104300,106100,107900
2227,78541,Edinburg,TX,26.319427,-98.154881,Hidalgo County,95400,97300,99100,99500,99600,100400,101500,101600,101400,101900,102600,103100
2228,50265,West Des Moines,IA,41.570916,-93.73568,Polk County,211600,213500,215600,217000,218000,218300,218000,217900,218300,218400,218600,219600
2229,77006,Houston,TX,29.741878000000003,-95.38944000000001,Harris County,483100,490400,497800,502600,507400,512000,515300,517600,519000,520400,522300,524700
2230,92102,San Diego,CA,32.714991999999995,-117.12536999999999,San Diego County,452600,458100,461700,463700,465400,468000,472800,478700,483100,486200,488400,489200
2231,93612,Clovis,CA,36.813456,-119.70826000000001,Fresno County,214800,218200,219800,220300,221900,223700,224900,225600,226000,226800,227800,228200
2232,94583,San Ramon,CA,37.75735,-121.95213000000001,Contra Costa County,958300,966400,971600,973600,977700,983500,989800,994500,1002100,1009000,1011800,1011600
2233,95307,Ceres,CA,37.584282,-120.95063999999999,Stanislaus County,272700,277600,280400,282100,283600,285500,286800,287700,289500,291500,293400,296000
2234,98155,Shoreline,WA,47.753019,-122.30373,King County,595100,603100,605400,605100,607800,609800,606200,601500,598900,595800,591600,590500
2235,2446,Brookline,MA,42.344747,-71.12141,Norfolk County,1829500,1849900,1864600,1870900,1879500,1887400,1891200,1897100,1912100,1931500,1946000,1954100
2236,60504,Aurora,IL,41.760067,-88.25218000000001,Kane County,217600,218600,218900,219100,219500,220000,219800,219600,219800,220500,221200,222200
2237,77092,Houston,TX,29.833326,-95.47644,Harris County,247200,248100,248800,249900,250600,249400,248200,247900,245400,242300,241900,242800
2238,85257,Scottsdale,AZ,33.467347,-111.91741,Maricopa County,317600,320000,321900,323900,326800,330200,333000,335200,338000,341000,343200,344500
2239,33756,Clearwater,FL,27.944631,-82.78702,Pinellas County,196300,199000,202100,204200,205300,205600,207100,209200,210900,212200,213200,213400
2240,80112,Centennial,CO,39.579454,-104.88288,Arapahoe County,474300,480400,485500,489000,491600,491700,490600,491400,494400,497400,500500,503900
2241,50010,Ames,IA,42.02933,-93.60965999999999,Story County,206500,206900,206400,206100,206600,207100,207000,206500,205600,204800,204500,204700
2242,98059,Renton,WA,47.493031,-122.14169,King County,597600,603700,605100,605300,608000,608600,604100,600000,598700,596800,594100,594200
2243,8332,Millville,NJ,39.379382,-75.03923,Cumberland County,119600,121200,122000,121400,121000,121300,121500,121100,121300,122800,124200,124600
2244,2864,Cumberland,RI,41.949099,-71.41181,Providence County,293000,292500,291800,292300,293900,295000,294800,294700,295600,297400,299200,300400
2245,10301,New York,NY,40.631775,-74.09432,Richmond County,531300,533800,538400,545000,550700,554500,558700,562700,566000,573600,583800,590000
2246,84120,West Valley City,UT,40.688246,-111.99898999999999,Salt Lake County,261500,265900,269500,271600,273800,276400,279200,282600,286200,289600,293000,296100
2247,34285,Venice,FL,27.091783000000003,-82.44846,Sarasota County,349000,350300,351200,351800,352300,352400,352700,353200,353600,353700,354900,356400
2248,97404,Eugene,OR,44.101227,-123.13604,Lane County,261800,264400,266700,268400,270600,273000,275800,277900,279200,280300,282300,284200
2249,20109,Manassas,VA,38.790202,-77.51294,Prince William County,293700,296600,298500,299400,300700,302000,302600,303000,303900,305700,308200,310300
2250,90744,Los Angeles,CA,33.784017999999996,-118.25896999999999,Los Angeles County,435900,439800,442100,443700,445300,447000,449200,451700,454400,457200,459700,461300
2251,80920,Colorado Springs,CO,38.952366,-104.76701,El Paso County,329900,332700,334600,335600,336400,337700,339300,341200,343500,346200,348600,350200
2252,36532,Fairhope,AL,30.512458000000002,-87.88559000000001,Baldwin County,227100,238300,250300,258200,264400,267800,269700,270800,272100,274400,277800,280800
2253,3102,Manchester,NH,42.990684,-71.4868,Hillsborough County,221800,222900,224200,225300,226800,228900,230700,232100,233400,235300,236800,238000
2254,59801,Missoula,MT,46.855422999999995,-114.01229,Missoula County,251700,255700,260100,264300,268000,270400,271700,272800,275100,278300,280900,282700
2255,32812,Orlando,FL,28.493531,-81.32609000000001,Orange County,256800,259300,261500,263300,265200,267800,270200,271800,272200,272400,273700,275800
2256,54901,Oshkosh,WI,44.043984,-88.53528,Winnebago County,167700,168800,170600,171200,170500,168900,169100,171800,174800,176000,176300,176700
2257,8807,Bridgewater,NJ,40.588097,-74.62253,Somerset County,452300,455100,456800,458100,460800,463600,464000,462700,463100,464900,466400,467100
2258,84106,Salt Lake City,UT,40.706246,-111.85656999999999,Salt Lake County,362700,371600,379400,384100,387900,391900,395800,398900,402200,406600,411900,416400
2259,51501,Council Bluffs,IA,41.251631,-95.87447,Pottawattamie County,91000,91100,92200,93800,95000,95100,94000,92700,93700,96000,96700,96000
2260,32250,Jacksonville Beach,FL,30.284640999999997,-81.39844000000001,Duval County,369800,371300,371900,371900,371400,370900,370900,370000,369800,371000,371800,371800
2261,30087,Stone Mountain,GA,33.817438,-84.13167,Dekalb County,188700,191000,192700,194100,195700,197600,199200,200200,201300,203500,205900,207300
2262,78723,Austin,TX,30.306507,-97.68651,Travis County,356800,362700,366900,367800,367500,367200,367200,368400,370100,372800,375700,377800
2263,63010,Arnold,MO,38.42727,-90.38515,Jefferson County,156400,157300,158600,160300,161000,161400,162700,164000,165400,167400,168900,169300
2264,72143,Searcy,AR,35.239022,-91.73776,White County,123500,124700,125600,126200,126500,126500,126400,126000,126400,128100,130400,131700
2265,30329,North Druid Hills,GA,33.827554,-84.32355,Dekalb County,413800,419700,425400,428300,430500,432500,434000,436000,439400,442900,446700,451000
2266,34243,Sarasota,FL,27.407657,-82.52923,Sarasota County,276200,278700,280200,280800,281100,281400,281500,281600,282700,284200,286000,287300
2267,53186,Waukesha,WI,43.015289,-88.20924000000001,Waukesha County,214100,215300,216500,216900,218200,220300,222200,223400,224700,226000,227600,229600
2268,97478,Springfield,OR,44.070824,-122.90709,Lane County,249100,251000,252600,253800,255200,256600,258200,259200,260000,261100,263200,265200
2269,77074,Houston,TX,29.689781,-95.51161,Harris County,171200,172700,172900,172600,172600,173600,174400,174200,173500,173600,174800,176200
2270,39042,Brandon,MS,32.237742,-89.93514,Rankin County,175900,177100,178500,179700,180500,180600,180600,180100,180400,183000,186600,188400
2271,19904,Dover,DE,39.161639,-75.5587,Kent County,186500,188000,189400,190100,190700,191600,193100,194400,195400,196300,197800,199100
2272,80003,Arvada,CO,39.825357000000004,-105.06438999999999,Jefferson County,355000,359200,362200,364100,365900,367300,367900,368300,369200,371200,373300,374800
2273,80206,Denver,CO,39.731237,-104.95243,Denver County,736900,746100,753000,758400,761200,761700,762000,764500,768800,774400,779200,782500
2274,11757,Lindenhurst,NY,40.690049,-73.37442,Suffolk County,324200,321400,320100,319100,310400,295100,280600,272300,278500,292400,303500,309100
2275,55414,Minneapolis,MN,44.980379,-93.23003,Hennepin County,268000,271400,274500,277400,280700,283500,284600,285700,287400,289100,290800,293000
2276,32503,Pensacola,FL,30.447996999999997,-87.20727,Escambia County,158900,161700,163900,165400,166300,167300,168000,168500,170600,173700,175800,176600
2277,68521,Lincoln,NE,40.855645,-96.71298,Lancaster County,169600,170500,171200,172500,174200,174700,175100,176100,177200,177900,178400,178800
2278,63125,Lemay,MO,38.524066,-90.2895,Saint Louis County,137100,137100,136900,137000,137400,138200,138900,139000,138800,139000,139700,140500
2279,80031,Westminster,CO,39.866785,-105.04143,Adams County,346400,350500,354000,356600,358900,360800,362400,363600,364700,367400,370800,373400
2280,3104,Manchester,NH,43.006033,-71.44716,Hillsborough County,262100,263400,264900,265800,266400,267500,269500,271500,272500,273300,274400,275500
2281,34491,Summerfield,FL,28.991134999999996,-82.02658000000001,Marion County,178100,179500,181400,182700,183500,183600,183900,184900,186800,188600,189200,189000
2282,63011,Ballwin,MO,38.601403000000005,-90.55209,Saint Louis County,293700,296200,298100,299300,300400,301400,302900,304200,304800,304800,304700,305000
2283,32258,Jacksonville,FL,30.148209,-81.56882,Duval County,244400,245600,245900,246000,246400,246800,247200,247700,248400,249700,250800,251300
2284,88011,Las Cruces,NM,32.312506,-106.70306000000001,Dona Ana County,212300,215600,219200,221700,223300,223500,224100,225200,226800,229100,232400,235100
2285,11590,Westbury,NY,40.756287,-73.57536,Nassau County,452600,456400,460100,463600,467800,471800,474200,475200,477400,481600,486000,489100
2286,44221,Cuyahoga Falls,OH,41.141456,-81.47928,Summit County,117100,117300,117100,116800,116900,117100,117100,117200,117900,119000,120200,121100
2287,47715,Evansville,IN,37.975476,-87.47506,Vanderburgh County,136100,136500,137000,137800,138600,139600,141100,142600,144300,145500,146000,146000
2288,27104,Winston-Salem,NC,36.094103999999994,-80.31503000000001,Forsyth County,257300,258800,260200,260800,260600,260500,261100,261300,261900,263400,264600,265000
2289,78628,Georgetown,TX,30.674349,-97.72338,Williamson County,309300,312100,315200,318400,321100,321900,321900,321800,322300,323400,325100,326800
2290,33060,Pompano Beach,FL,26.232009,-80.12210999999999,Broward County,290400,296900,301800,305300,309000,312600,313900,313900,313900,314700,315200,316300
2291,60202,Evanston,IL,42.030327,-87.68828,Cook County,355700,362800,369300,371900,373300,375300,376500,376600,376400,376700,377400,378900
2292,44266,Ravenna,OH,41.159224,-81.23143,Portage County,119800,120900,121200,120800,120200,120000,120700,122400,124200,125500,126200,126700
2293,75038,Irving,TX,32.872386,-96.98524,Dallas County,294000,295900,295100,294500,295900,296900,296100,294800,296300,300200,305600,310500
2294,99223,Spokane,WA,47.614744,-117.35892,Spokane County,279300,282900,285500,287300,288600,290000,291300,292300,293100,294900,296800,297700
2295,17111,Lower Paxton,PA,40.264389,-76.80298,Dauphin County,164000,164900,165900,166800,167300,167300,167300,167300,167400,167900,168600,169000
2296,75701,Tyler,TX,32.325214,-95.29467,Smith County,126800,128000,128900,129800,130700,131000,130600,130200,130400,130900,131100,131100
2297,66614,Topeka,KS,39.015374,-95.76057,Shawnee County,145000,144000,145000,146300,147800,148900,149900,150800,151500,152800,153700,153900
2298,30342,Sandy Springs,GA,33.879003000000004,-84.37203000000001,Fulton County,717000,728300,738700,741800,741500,741200,741000,742100,745400,752700,759700,764200
